, LDA_00, LDA_01, LDA_02, LDA_03, LDA_04, abs_title_sentiment_polarity, abs_title_subjectivity, average_token_length, avg_negative_polarity, avg_positive_polarity, data_channel_is_bus, data_channel_is_entertainment, data_channel_is_lifestyle, data_channel_is_socmed, data_channel_is_tech, data_channel_is_world, global_rate_negative_words, global_rate_positive_words, global_sentiment_polarity, global_subjectivity, is_weekend, kw_avg_avg, kw_avg_max, kw_avg_min, kw_max_avg, kw_max_max, kw_max_min, kw_min_avg, kw_min_max, kw_min_min, max_negative_polarity, max_positive_polarity, min_negative_polarity, min_positive_polarity, n_non_stop_unique_tokens, n_non_stop_words, n_tokens_content, n_tokens_title, n_unique_tokens, num_hrefs, num_imgs, num_keywords, num_self_hrefs, num_videos, rate_negative_words, rate_positive_words, self_reference_avg_sharess, self_reference_max_shares, self_reference_min_shares, title_sentiment_polarity, title_subjectivity, weekday_is_friday, weekday_is_monday, weekday_is_saturday, weekday_is_sunday, weekday_is_thursday, weekday_is_tuesday, weekday_is_wednesday, shares
10,8,1,0,0,0,1,0,7,8,3,1.0,0.0,0.0,0.0,0.0,0.0,1,5,5,4,0.0,1,5,0,0,9,0,3,0,0,8,8,8,0,6,9,1,4,4,1,0,2,0,0,1,7,0,7,0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1100
11,0,0,0,0,0,2,6,7,5,4,0.0,1.0,0.0,0.0,0.0,0.0,4,3,4,5,0.0,2,3,0,1,9,0,5,0,0,9,9,3,1,5,9,1,5,4,0,1,3,0,0,4,3,1,2,0,3,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1100
12,0,1,4,1,7,5,3,7,7,4,0.0,1.0,0.0,0.0,0.0,0.0,1,3,4,4,1.0,1,3,0,0,9,0,0,0,0,9,7,0,0,5,9,2,4,4,0,0,6,1,1,3,7,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600
13,3,0,0,0,0,0,9,7,8,2,1.0,0.0,0.0,0.0,0.0,0.0,0,1,4,3,0.0,1,3,0,0,9,0,7,0,0,8,6,6,1,5,9,0,5,4,0,0,3,0,0,5,6,0,0,1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100
14,0,3,0,0,9,2,3,8,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1,4,7,5,0.0,1,3,0,0,9,0,0,0,9,8,4,6,4,7,9,0,5,7,1,0,8,0,0,4,9,0,0,0,7,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1100
15,1,0,1,2,5,0,9,0,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,0.0,2,6,0,0,9,0,6,0,0,9,0,9,4,1,0,0,3,0,0,0,7,1,0,0,9,0,0,1,4,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1500
16,7,0,0,2,0,4,4,7,5,4,1.0,0.0,0.0,0.0,0.0,0.0,0,8,6,5,0.0,1,9,0,1,9,2,0,0,0,7,7,5,2,8,9,0,4,6,0,0,5,0,0,0,9,0,0,0,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200
17,9,3,9,0,0,1,8,7,7,2,1.0,0.0,0.0,0.0,0.0,1.0,0,2,5,3,0.0,1,3,0,0,9,0,3,0,0,9,8,2,1,4,9,1,5,3,0,0,7,0,0,3,6,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1100
18,0,0,0,0,0,0,9,7,8,2,0.0,0.0,0.0,0.0,0.0,0.0,1,1,4,3,1.0,1,2,0,0,0,0,4,0,9,8,4,8,1,5,9,0,3,5,0,0,2,0,0,2,9,0,0,0,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200
19,8,1,0,0,0,2,4,7,7,3,1.0,0.0,0.0,0.0,0.0,0.0,0,4,6,5,0.0,2,7,0,1,9,0,6,0,0,7,8,8,0,7,9,0,5,5,0,0,2,0,0,1,8,0,0,0,5,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1100
20,0,9,0,0,9,6,2,7,7,5,0.0,0.0,0.0,0.0,1.0,0.0,2,5,5,5,0.0,1,2,0,0,8,0,5,0,0,9,8,3,1,6,9,1,6,5,0,1,5,1,0,2,6,0,0,0,3,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1100
21,2,0,5,2,0,0,9,0,9,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,5,0,0.0,2,6,0,1,9,0,7,0,0,9,0,9,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1000
22,0,0,1,0,8,0,0,7,7,3,0.0,0.0,0.0,0.0,1.0,0.0,2,4,5,5,0.0,2,2,0,0,9,0,3,0,0,9,9,0,1,6,9,1,2,4,0,0,6,3,0,2,7,0,0,0,5,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1100
23,7,0,0,0,0,0,9,7,8,4,1.0,1.0,1.0,0.0,0.0,0.0,0,3,6,4,1.0,1,2,0,1,9,0,6,0,0,9,9,5,0,5,9,5,5,5,0,3,7,3,0,1,8,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1200
24,1,0,2,0,9,0,9,7,7,2,0.0,0.0,0.0,0.0,1.0,0.0,0,2,7,2,0.0,2,4,0,0,8,0,4,0,0,8,4,7,2,7,9,0,8,9,0,0,3,0,0,4,7,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1100
25,1,0,8,0,0,0,9,8,6,2,0.0,0.0,0.0,0.0,0.0,1.0,1,1,3,4,0.0,1,2,0,0,9,0,0,0,0,9,5,8,1,8,9,0,4,6,0,0,5,0,0,7,6,0,0,0,4,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1100
26,0,1,3,0,2,0,9,7,7,3,0.0,0.0,0.0,0.0,0.0,0.0,2,3,5,4,0.0,1,3,0,0,8,0,3,0,0,9,5,5,1,6,9,3,0,5,1,1,7,0,0,2,7,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1300
27,1,1,0,0,0,0,9,8,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0,1,6,4,0.0,2,6,0,1,8,0,6,1,0,9,5,9,3,8,9,0,0,6,0,0,3,1,0,0,9,0,1,0,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1100
28,0,9,8,6,0,2,0,8,5,4,0.0,1.0,0.0,0.0,0.0,0.0,3,2,4,3,1.0,1,3,0,0,9,0,0,0,0,9,9,0,0,5,9,4,6,4,0,0,6,1,0,3,4,0,0,0,6,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
29,0,9,0,2,0,0,8,7,6,3,0.0,1.0,0.0,0.0,0.0,0.0,2,3,5,5,0.0,1,0,1,0,0,0,0,0,9,9,8,5,0,6,9,2,2,3,0,0,5,0,0,2,6,0,0,0,9,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1200
30,3,0,9,0,4,0,9,8,8,2,0.0,0.0,0.0,0.0,0.0,1.0,0,2,5,4,0.0,1,2,1,0,8,0,5,0,0,8,4,5,0,6,9,2,2,5,1,0,5,0,0,2,6,0,0,0,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1100
31,9,0,0,0,0,5,0,7,8,4,1.0,0.0,0.0,0.0,0.0,0.0,0,5,5,4,0.0,2,3,0,0,9,0,6,0,0,8,5,2,1,6,9,0,4,5,0,0,7,0,0,1,8,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1100
32,0,1,3,3,2,6,7,7,7,3,1.0,0.0,0.0,0.0,0.0,0.0,0,3,5,5,0.0,1,2,0,0,9,0,0,0,0,5,8,5,1,6,9,1,6,5,0,0,7,0,0,2,8,0,0,0,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1100
33,0,9,0,6,0,0,9,7,6,3,0.0,1.0,0.0,0.0,0.0,0.0,3,4,5,5,0.0,3,3,0,0,9,0,5,0,0,9,9,3,4,6,9,2,6,6,0,0,4,1,0,4,5,0,0,0,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1200
34,0,0,0,0,0,0,9,7,6,2,1.0,0.0,0.0,0.0,0.0,0.0,0,3,4,5,0.0,1,2,0,1,9,0,0,0,0,9,7,5,1,8,9,0,1,7,0,0,7,0,0,2,8,0,0,0,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1100
35,0,7,4,0,0,0,9,8,5,1,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1,3,0.0,0,2,0,0,9,0,0,0,0,8,5,8,0,6,9,0,5,5,1,0,5,0,0,6,4,0,0,0,5,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1200
36,5,0,1,0,0,0,9,7,5,3,1.0,0.0,0.0,0.0,0.0,0.0,1,4,7,5,0.0,1,0,1,0,0,0,0,0,9,8,7,5,0,6,9,1,4,5,0,1,9,0,0,2,8,0,0,0,5,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1100
37,0,0,9,0,4,0,9,8,7,3,0.0,0.0,0.0,0.0,0.0,1.0,1,1,3,3,0.0,1,2,0,0,9,0,5,0,0,8,6,6,1,5,9,0,2,4,0,0,5,1,0,5,4,0,0,0,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1100
38,0,0,7,0,6,0,0,7,6,4,0.0,0.0,1.0,0.0,0.0,0.0,1,3,4,4,0.0,1,0,1,0,0,0,6,0,0,8,8,5,1,5,9,0,4,4,0,0,5,0,0,3,5,0,0,0,3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100
39,0,0,1,1,1,0,9,7,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0,3,2,5,0.0,3,3,0,1,9,0,2,0,0,9,9,4,2,6,9,0,2,6,1,0,8,0,0,1,8,0,0,0,8,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1100
40,0,0,4,5,0,2,4,7,1,3,0.0,1.0,0.0,0.0,0.0,0.0,1,4,3,6,0.0,1,5,0,1,9,0,0,0,0,8,9,2,3,7,9,1,5,6,2,1,0,0,1,6,2,0,0,0,6,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1100
41,1,0,7,0,4,0,9,8,7,3,0.0,0.0,0.0,0.0,1.0,0.0,1,2,4,3,0.0,1,2,0,0,8,0,6,0,0,8,7,3,1,6,9,0,3,4,0,0,4,1,0,3,6,0,0,0,5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1100
42,0,0,0,0,7,4,0,7,8,4,0.0,0.0,0.0,0.0,0.0,0.0,1,3,5,4,0.0,2,3,0,0,9,0,2,0,0,8,8,5,1,6,9,0,4,5,0,0,5,3,0,3,8,0,0,0,3,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1100
43,0,0,6,3,0,0,9,8,6,4,0.0,0.0,0.0,1.0,0.0,0.0,2,1,4,5,0.0,1,5,0,1,8,0,3,2,9,8,9,5,0,5,9,0,5,5,0,2,9,0,0,3,5,0,0,0,5,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1100
44,0,7,0,7,0,0,9,7,6,2,0.0,1.0,0.0,0.0,0.0,0.0,0,2,5,3,1.0,3,2,0,0,9,0,6,0,0,7,6,7,2,6,9,0,5,6,0,0,3,0,0,6,9,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1100
45,0,1,3,8,0,0,9,7,5,1,0.0,0.0,0.0,0.0,0.0,0.0,1,2,5,6,0.0,1,1,0,1,9,0,8,0,0,6,5,6,0,8,9,0,6,6,0,0,9,0,0,4,5,0,1,0,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
46,0,2,0,2,0,0,9,7,9,5,0.0,1.0,1.0,0.0,0.0,0.0,0,4,6,6,0.0,2,2,0,1,9,0,2,0,0,9,9,9,2,5,9,0,4,5,0,0,4,0,0,0,8,0,0,0,4,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1200
47,9,1,0,0,0,0,9,8,7,2,1.0,0.0,0.0,0.0,0.0,0.0,1,2,5,3,0.0,1,8,0,0,9,0,8,0,0,9,5,6,1,7,9,0,5,6,0,0,4,0,0,2,7,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1100
48,0,9,0,9,0,1,4,7,4,4,0.0,0.0,0.0,0.0,0.0,0.0,8,1,3,5,0.0,2,2,1,1,7,0,7,0,0,8,8,4,5,6,9,0,8,5,0,5,5,0,0,4,4,3,1,0,2,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1100
49,0,0,6,0,1,0,9,7,4,3,0.0,0.0,0.0,0.0,0.0,1.0,5,2,2,3,0.0,1,2,0,0,9,5,6,0,0,9,5,5,1,6,9,1,2,5,0,0,5,0,0,4,4,0,0,0,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1100
50,1,0,0,5,0,0,9,7,6,4,0.0,0.0,1.0,0.0,0.0,0.0,1,4,7,5,0.0,2,0,1,0,9,0,0,0,0,8,9,8,3,7,9,1,4,5,1,0,7,0,0,2,9,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300
51,0,0,0,0,5,1,0,7,7,3,0.0,0.0,1.0,0.0,0.0,0.0,1,2,5,5,1.0,1,1,0,0,8,0,3,0,0,9,9,2,1,5,9,3,4,4,1,0,7,0,0,3,7,0,0,0,7,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1700
52,0,1,9,0,0,2,0,8,7,3,0.0,0.0,0.0,0.0,0.0,1.0,0,2,3,5,0.0,1,4,0,0,9,0,0,0,0,8,6,5,1,6,9,2,3,4,0,0,5,0,0,4,5,0,0,0,5,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1100
53,3,2,0,6,0,0,9,7,7,4,0.0,0.0,0.0,0.0,0.0,0.0,2,2,6,5,0.0,2,2,0,1,7,0,5,0,9,8,9,6,2,5,9,1,2,5,0,0,8,1,3,3,7,0,1,1,4,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1200
54,0,0,0,0,9,1,0,7,7,3,0.0,0.0,0.0,0.0,1.0,0.0,2,3,5,5,0.0,1,1,0,0,7,0,4,0,0,8,4,3,0,5,9,1,4,3,0,0,3,1,0,3,6,0,0,0,4,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1100
55,5,1,2,0,0,0,3,7,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4,3,0.0,1,3,0,0,9,0,4,0,0,8,4,2,1,6,9,0,5,5,0,0,5,0,0,5,6,1,0,0,4,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1100
56,0,2,8,0,0,0,9,7,7,3,0.0,0.0,0.0,0.0,0.0,1.0,1,1,3,3,0.0,1,2,2,0,9,0,5,0,0,9,9,4,1,4,9,2,5,3,0,0,7,0,0,5,5,0,0,0,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1100
57,7,9,0,0,0,1,1,7,7,2,0.0,1.0,0.0,0.0,0.0,0.0,3,3,4,5,0.0,1,2,0,0,8,0,5,0,0,8,5,2,1,6,9,0,6,4,0,0,4,0,1,3,6,0,1,0,5,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1100
58,9,7,0,0,0,2,4,7,6,3,1.0,0.0,0.0,0.0,0.0,0.0,2,6,6,5,0.0,1,2,0,0,9,0,0,0,0,5,7,3,1,6,9,1,4,5,0,0,6,0,3,2,8,0,0,0,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100
59,0,0,0,0,0,0,9,7,7,5,0.0,0.0,0.0,1.0,0.0,1.0,2,3,5,4,0.0,2,2,0,1,9,0,6,0,0,8,4,4,4,5,9,0,3,4,1,0,8,0,0,3,6,0,0,0,5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1100
60,9,0,9,0,0,0,9,7,6,3,1.0,0.0,0.0,0.0,0.0,1.0,1,3,4,4,0.0,1,2,0,0,9,0,0,0,0,8,4,4,0,6,9,1,2,4,0,0,6,0,0,3,6,0,0,0,5,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1100
61,0,0,0,0,0,0,9,7,7,4,0.0,0.0,0.0,0.0,0.0,0.0,2,3,5,6,0.0,1,4,0,0,9,0,6,0,0,8,9,0,0,6,9,0,4,5,2,1,7,0,0,1,7,0,1,0,5,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1100
62,9,6,0,0,0,1,4,7,6,4,0.0,1.0,0.0,0.0,0.0,0.0,2,4,3,5,0.0,1,4,1,0,9,0,2,0,0,8,9,3,2,7,9,0,5,6,0,0,4,0,0,4,5,0,0,0,5,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1100
63,0,0,7,0,7,5,0,8,7,4,0.0,0.0,1.0,0.0,1.0,0.0,2,5,5,3,0.0,1,0,2,0,0,0,0,0,9,9,6,5,1,7,9,3,2,6,0,0,7,0,0,3,7,0,0,0,3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100
64,0,0,5,0,5,5,7,6,7,4,0.0,0.0,1.0,0.0,0.0,0.0,3,3,3,4,1.0,1,2,1,1,0,0,3,0,9,8,8,4,1,6,9,1,4,5,1,0,8,0,0,3,6,0,0,0,8,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1200
65,0,2,1,0,4,2,3,8,8,3,0.0,0.0,0.0,0.0,0.0,1.0,0,2,3,3,0.0,1,5,0,0,9,2,6,0,0,8,5,1,0,6,9,0,5,5,0,0,7,1,0,6,4,0,0,0,4,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1100
66,0,0,8,0,0,0,9,8,7,3,0.0,1.0,0.0,0.0,0.0,1.0,1,1,3,4,0.0,1,3,0,0,9,0,5,0,0,9,6,3,1,5,9,3,9,4,0,0,6,0,0,2,5,0,0,0,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1100
67,9,0,2,0,1,3,0,8,9,2,0.0,0.0,0.0,0.0,0.0,0.0,1,2,4,5,0.0,1,0,0,0,0,0,0,0,9,8,7,2,1,6,9,1,5,4,0,0,5,0,0,3,6,0,0,0,6,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1100
68,9,0,0,0,0,1,2,7,8,4,1.0,0.0,0.0,0.0,0.0,0.0,2,1,3,2,0.0,1,6,0,0,9,0,2,0,0,7,7,5,1,7,9,0,6,6,0,0,4,0,0,3,6,0,0,0,4,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1100
69,0,9,2,9,0,3,8,8,6,4,0.0,1.0,0.0,0.0,0.0,0.0,4,3,6,4,0.0,1,4,0,2,9,0,0,0,0,8,5,5,1,6,9,1,4,5,0,0,5,0,0,4,7,0,0,0,3,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
70,9,0,0,0,0,0,1,8,8,3,1.0,0.0,0.0,0.0,0.0,0.0,3,3,4,5,0.0,1,3,0,0,9,0,2,0,0,9,8,2,0,6,9,1,5,4,0,0,1,2,0,2,6,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1100
71,8,7,0,0,2,1,0,7,8,2,1.0,0.0,0.0,0.0,0.0,0.0,1,4,5,5,0.0,1,2,0,0,9,0,5,1,0,8,9,5,1,6,9,5,1,4,0,0,3,3,0,1,6,0,0,0,5,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1100
72,0,1,8,0,4,1,3,8,7,2,0.0,0.0,0.0,0.0,1.0,0.0,2,4,5,4,0.0,1,2,0,0,8,0,4,0,0,8,4,3,2,6,9,1,6,4,1,0,5,0,0,1,6,0,0,0,4,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1100
73,0,0,7,0,0,0,9,7,8,4,0.0,1.0,0.0,0.0,0.0,1.0,1,1,6,4,0.0,1,0,1,0,9,0,0,0,0,8,9,5,1,6,9,1,2,5,0,0,9,0,0,4,8,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1100
74,0,0,1,0,6,1,0,7,8,3,0.0,0.0,0.0,0.0,0.0,1.0,1,3,5,5,0.0,1,2,0,0,9,0,0,0,0,9,7,5,1,6,9,0,2,4,1,1,9,0,0,3,8,0,0,1,6,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
75,0,4,0,1,0,0,9,7,8,4,0.0,1.0,0.0,0.0,0.0,0.0,0,6,6,4,0.0,1,6,2,1,9,0,7,0,0,6,9,7,0,7,9,0,5,7,0,0,5,0,0,1,9,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1200
76,0,3,4,2,0,0,9,8,8,4,0.0,1.0,0.0,0.0,0.0,1.0,0,3,6,5,1.0,1,3,0,0,9,0,0,0,0,9,7,3,1,6,9,1,5,5,3,0,5,0,1,1,8,0,0,0,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1100
77,4,0,0,0,0,1,4,8,6,2,0.0,0.0,0.0,0.0,0.0,0.0,4,4,5,4,0.0,2,6,0,0,9,0,4,0,0,8,5,4,0,6,9,0,5,5,1,0,4,1,0,4,6,0,0,0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100
78,0,3,0,1,4,4,1,7,7,4,0.0,1.0,1.0,0.0,0.0,0.0,3,3,5,5,0.0,1,3,0,1,9,0,2,0,0,4,8,1,2,6,9,1,4,5,0,0,6,0,0,2,6,0,0,0,8,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1200
79,0,0,0,2,5,0,1,7,6,4,0.0,0.0,0.0,0.0,1.0,0.0,2,2,3,6,0.0,2,6,0,0,7,0,5,0,0,8,7,3,2,6,9,1,2,5,0,0,8,1,7,2,7,0,0,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200
80,0,0,0,0,9,8,0,7,7,3,0.0,0.0,0.0,0.0,1.0,0.0,3,5,5,5,0.0,3,1,0,1,9,0,2,0,0,8,9,0,0,4,9,7,4,3,4,1,5,2,0,3,6,0,1,0,4,6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1100
81,0,1,6,0,0,0,9,8,7,2,1.0,0.0,0.0,0.0,0.0,1.0,0,1,4,4,0.0,1,4,0,0,9,0,1,0,0,8,7,2,0,5,9,1,1,3,1,0,4,2,0,3,8,0,1,0,5,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1100
82,1,1,6,0,1,0,9,7,7,2,1.0,0.0,0.0,0.0,0.0,1.0,2,3,5,3,0.0,1,3,0,0,9,0,0,0,0,9,8,3,1,5,9,1,3,4,5,0,9,0,0,4,7,0,1,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1100
83,0,6,0,0,0,7,3,7,8,3,0.0,0.0,0.0,0.0,0.0,0.0,3,4,4,5,0.0,1,3,0,3,9,0,0,0,0,7,7,0,0,6,9,0,9,5,1,1,6,0,0,2,8,0,0,0,6,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1100
84,0,0,9,0,5,0,9,7,6,3,0.0,0.0,0.0,0.0,0.0,1.0,1,3,4,3,0.0,1,3,1,0,9,0,5,0,0,8,8,4,2,5,9,4,3,5,0,0,5,0,0,5,4,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1100
85,1,0,0,0,0,0,9,7,9,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,4,2,0.0,1,4,0,0,9,0,5,0,0,9,7,9,0,7,0,0,0,5,0,0,5,0,0,0,9,0,0,0,5,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1100
86,0,0,3,9,0,0,6,7,8,3,0.0,0.0,0.0,0.0,0.0,0.0,1,7,6,5,0.0,1,2,0,1,9,0,0,0,0,5,4,7,2,6,9,0,4,6,0,0,8,0,0,1,8,0,0,0,7,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
